Condition;score;size;time
Gelatine 0.3;10.0;1;10.00
Gelatine 0.3;10.0;1;20.00
Gelatine 0.3;6.0;2;30.00
Gelatine 0.3;9.0;1;40.00
Gelatine 0.3;8.0;1;50.00
Gelatine 0.3;7.0;1;60.00
Gelatine 0.3;8.0;1;70.00
Gelatine 0.3;6.0;1;80.00
Gelatine 0.3;3.5;2;90.00
Gelatine 0.3;3.3;3;100.00
Gelatine 0.3;2.3;3;110.00
Gelatine 0.3;2.5;2;120.00
Gelatine 0.3;2.5;2;130.00
Gelatine 0.3;2.0;1;140.00
Gelatine 0.3;2.0;1;150.00
Gelatine 0.3;2.0;1;160.00
Gelatine 0.3;2.0;1;170.00
Gelatine 0.3;2.0;1;180.00
Gelatine 0.3;6.0;2;200.00
Gelatine 0.3;3.0;2;220.00
Gelatine 0.3;4.0;3;240.00
Gelatine 0.1;1.0;1;10.00
Gelatine 0.1;1.0;1;20.00
Gelatine 0.1;1.0;1;30.00
Gelatine 0.1;1.0;1;40.00
Gelatine 0.1;1.0;1;50.00
Gelatine 0.1;1.0;1;60.00
Gelatine 0.1;;0;70.00
Gelatine 0.1;;0;80.00
Gelatine 0.1;;0;90.00
Gelatine 0.1;;0;100.00
Gelatine 0.1;;0;110.00
Gelatine 0.1;;0;120.00
Gelatine 0.1;;0;130.00
Gelatine 0.1;;0;140.00
Gelatine 0.1;2.0;1;150.00
Gelatine 0.1;2.0;1;160.00
Gelatine 0.1;3.0;1;170.00
Gelatine 0.1;3.0;1;180.00
Gelatine 0.1;;0;200.00
Gelatine 0.1;;0;220.00
Gelatine 0.1;;0;240.00
Resistant 0.3;6.0;1;10.00
Resistant 0.3;;0;20.00
Resistant 0.3;;0;30.00
Resistant 0.3;3.0;1;40.00
Resistant 0.3;3.0;1;50.00
Resistant 0.3;3.0;1;60.00
Resistant 0.3;3.0;1;70.00
Resistant 0.3;3.0;1;80.00
Resistant 0.3;3.0;1;90.00
Resistant 0.3;3.0;1;100.00
Resistant 0.3;3.0;1;110.00
Resistant 0.3;3.0;1;120.00
Resistant 0.3;3.0;1;130.00
Resistant 0.3;2.0;1;140.00
Resistant 0.3;2.0;1;150.00
Resistant 0.3;2.0;1;160.00
Resistant 0.3;2.0;1;170.00
Resistant 0.3;2.0;1;180.00
Resistant 0.3;2.0;1;200.00
Resistant 0.3;2.0;1;220.00
Resistant 0.3;2.0;1;240.00
Resistant 0.1;;0;10.00
Resistant 0.1;;0;20.00
Resistant 0.1;;0;30.00
Resistant 0.1;2.0;1;40.00
Resistant 0.1;;0;50.00
Resistant 0.1;;0;60.00
Resistant 0.1;;0;70.00
Resistant 0.1;;0;80.00
Resistant 0.1;;0;90.00
Resistant 0.1;;0;100.00
Resistant 0.1;;0;110.00
Resistant 0.1;;0;120.00
Resistant 0.1;;0;130.00
Resistant 0.1;;0;140.00
Resistant 0.1;;0;150.00
Resistant 0.1;;0;160.00
Resistant 0.1;;0;170.00
Resistant 0.1;;0;180.00
Resistant 0.1;;0;200.00
Resistant 0.1;;0;220.00
Resistant 0.1;;0;240.00
Placebo;2.0;1;10.00
Placebo;1.0;1;20.00
Placebo;1.0;1;30.00
Placebo;;0;40.00
Placebo;;0;50.00
Placebo;;0;60.00
Placebo;1.0;1;70.00
Placebo;;0;80.00
Placebo;;0;90.00
Placebo;;0;100.00
Placebo;;0;110.00
Placebo;;0;120.00
Placebo;;0;130.00
Placebo;;0;140.00
Placebo;;0;150.00
Placebo;;0;160.00
Placebo;;0;170.00
Placebo;;0;180.00
Placebo;;0;200.00
Placebo;;0;220.00
Placebo;;0;240.00
